類型,廠商,max
外包商,亞克,4
外包商,馗鼎,3
外包商,大寶鈦金,4
外包商,亞洲科匯,3
外包商,鎧鉅,3
國內客戶,台灣模具廠,3
國內客戶,台灣塑膠廠,3
國內客戶,速聯,3
國內客戶,玟揚,3
國內客戶,豪縉,3
國內客戶,京寶,3
國外客戶,Digi-key,3
國外客戶,Farnell,3
國外客戶,GMB,3
國外客戶,GMP,3
國外客戶,GMS,3
國外客戶,GMW,3
國外客戶,GPB,3
國外客戶,GPS,3
國外客戶,GPW,3
國外客戶,J&J ELM,3
國外客戶,J&J MON,3
國外客戶,J&J BRW,3
國外客戶,Fremont,3
國外客戶,Jabil IndiA,3
國外客戶,J&J BAL,3
國外客戶,J&J BET,3
國外客戶,J&J GRE,3
國外客戶,J&J HAG,3
國外客戶,J&J LEL,3
國外客戶,J&J MEZ,3
國外客戶,J&J RAR,3
國外客戶,J&J TUT,3
國外客戶,JDAS,3
國外客戶,KULIM,3
國外客戶,Molex,3
國外客戶,SRAM INDY,3
國外客戶,SRAMPORT,3
國外客戶,TW-AUTO,3
